,scm,method,model,seed,seed2,q,estimate
7586,fairness_xy,rs_gan_ncm_truth,-,0,3407,ctfde,-0.17968537302323412
7587,fairness_xy,rs_gan_ncm_truth,-,0,3407,ctfde,-0.17606264555399515
7588,fairness_xy,rs_gan_ncm_truth,-,0,3407,ctfde,-0.17890843729944778
7589,fairness_xy,rs_gan_ncm_truth,-,0,3407,ctfde,-0.19610541306000973
7590,fairness_xy,rs_gan_ncm_truth,-,0,65535,ctfde,-0.06828023717864595
7591,fairness_xy,rs_gan_ncm_truth,-,0,65535,ctfde,-0.06927175790542411
7592,fairness_xy,rs_gan_ncm_truth,-,0,65535,ctfde,-0.06047245407724722
7593,fairness_xy,rs_gan_ncm_truth,-,0,65535,ctfde,-0.0657209920407994
7594,fairness_xy,rs_gan_ncm_truth,-,0,65535,ctfde,-0.0985485791035074
7595,fairness_xy,rs_gan_ncm_truth,-,0,65535,ctfde,-0.08905718847582966
7596,fairness_xy,rs_gan_ncm_truth,-,0,65535,ctfde,-0.0755453749656288
7597,fairness_xy,rs_gan_ncm_truth,-,0,65535,ctfde,-0.06815335052669286
7598,fairness_xy,rs_gan_ncm_truth,-,0,65535,ctfde,-0.0749514906857966
7599,fairness_xy,rs_gan_ncm_truth,-,0,65535,ctfde,-0.052780246906805606
7600,fairness_xy,gan_ncm,maf,0,0,ate,-0.03204444606537887
7601,fairness_xy,gan_ncm,maf,0,0,ate,-0.0233153836693602
7602,fairness_xy,gan_ncm,maf,0,0,ate,-0.01843016560240268
7603,fairness_xy,gan_ncm,maf,0,0,ate,-0.031962584646087255
7604,fairness_xy,gan_ncm,maf,0,0,ate,-0.025167644886835983
7605,fairness_xy,gan_ncm,maf,0,0,ate,-0.03131934259020264
7606,fairness_xy,gan_ncm,maf,0,0,ate,-0.030184004319563695
7607,fairness_xy,gan_ncm,maf,0,0,ate,-0.02867543026467545
7608,fairness_xy,gan_ncm,maf,0,0,ate,-0.021119095091372886
7609,fairness_xy,gan_ncm,maf,0,0,ate,-0.020474079895270114
7610,fairness_xy,gan_ncm,maf,0,7,ate,-0.09569503493127474
7611,fairness_xy,gan_ncm,maf,0,7,ate,-0.09942683214453879
7612,fairness_xy,gan_ncm,maf,0,7,ate,-0.10035551195719589
7613,fairness_xy,gan_ncm,maf,0,7,ate,-0.10226778331610675
7614,fairness_xy,gan_ncm,maf,0,7,ate,-0.09391061952756075
7615,fairness_xy,gan_ncm,maf,0,7,ate,-0.09756337028102474
7616,fairness_xy,gan_ncm,maf,0,7,ate,-0.09487238617698102
7617,fairness_xy,gan_ncm,maf,0,7,ate,-0.09601644460976438
7618,fairness_xy,gan_ncm,maf,0,7,ate,-0.0986539551126997
7619,fairness_xy,gan_ncm,maf,0,7,ate,-0.09337473342379354
7620,fairness_xy,gan_ncm,maf,0,42,ate,-0.06865790302884345
7621,fairness_xy,gan_ncm,maf,0,42,ate,-0.06841275433887176
7622,fairness_xy,gan_ncm,maf,0,42,ate,-0.06821909125190842
7623,fairness_xy,gan_ncm,maf,0,42,ate,-0.06909346854392631
7624,fairness_xy,gan_ncm,maf,0,42,ate,-0.06902008261426681
7625,fairness_xy,gan_ncm,maf,0,42,ate,-0.0694640532043666
7626,fairness_xy,gan_ncm,maf,0,42,ate,-0.06932471871076601
7627,fairness_xy,gan_ncm,maf,0,42,ate,-0.07213278867022938
7628,fairness_xy,gan_ncm,maf,0,42,ate,-0.07032005022905088
7629,fairness_xy,gan_ncm,maf,0,42,ate,-0.06761677080583162
7630,fairness_xy,gan_ncm,maf,0,3407,ate,-0.24749799554534604
7631,fairness_xy,gan_ncm,maf,0,3407,ate,-0.25134332021168315
7632,fairness_xy,gan_ncm,maf,0,3407,ate,-0.2587022799998472
7633,fairness_xy,gan_ncm,maf,0,3407,ate,-0.2541897331326506
7634,fairness_xy,gan_ncm,maf,0,3407,ate,-0.2531590372926641
7635,fairness_xy,gan_ncm,maf,0,3407,ate,-0.2569739699596412
7636,fairness_xy,gan_ncm,maf,0,3407,ate,-0.25313129056775124
7637,fairness_xy,gan_ncm,maf,0,3407,ate,-0.27069531561845084
7638,fairness_xy,gan_ncm,maf,0,3407,ate,-0.2678843591402824
7639,fairness_xy,gan_ncm,maf,0,3407,ate,-0.24822891550056608
7640,fairness_xy,gan_ncm,maf,0,65535,ate,-0.10508730391925636
7641,fairness_xy,gan_ncm,maf,0,65535,ate,-0.11472819267950518
7642,fairness_xy,gan_ncm,maf,0,65535,ate,-0.11539776633394955
7643,fairness_xy,gan_ncm,maf,0,65535,ate,-0.10801046628495387
7644,fairness_xy,gan_ncm,maf,0,65535,ate,-0.11133538921004699
7645,fairness_xy,gan_ncm,maf,0,65535,ate,-0.1030707367017828
7646,fairness_xy,gan_ncm,maf,0,65535,ate,-0.10949298473825031
7647,fairness_xy,gan_ncm,maf,0,65535,ate,-0.10202403897238488
7648,fairness_xy,gan_ncm,maf,0,65535,ate,-0.11149704989532333
7649,fairness_xy,gan_ncm,maf,0,65535,ate,-0.10575490611085814
7650,fairness_xy,gan_ncm,maf,7,0,ate,-0.02584989915515451
7651,fairness_xy,gan_ncm,maf,7,0,ate,-0.023607012962755747
7652,fairness_xy,gan_ncm,maf,7,0,ate,-0.023377840978683062
7653,fairness_xy,gan_ncm,maf,7,0,ate,-0.018666334198764012
7654,fairness_xy,gan_ncm,maf,7,0,ate,-0.028600150981930528
7655,fairness_xy,gan_ncm,maf,7,0,ate,-0.025344784089274874
7656,fairness_xy,gan_ncm,maf,7,0,ate,-0.02654427688084887
7657,fairness_xy,gan_ncm,maf,7,0,ate,-0.03247681045055312
7658,fairness_xy,gan_ncm,maf,7,0,ate,-0.026877155788890716
7659,fairness_xy,gan_ncm,maf,7,0,ate,-0.023665104773605006
7660,fairness_xy,gan_ncm,maf,7,7,ate,-0.09216609392181663
7661,fairness_xy,gan_ncm,maf,7,7,ate,-0.10145401972302626
7662,fairness_xy,gan_ncm,maf,7,7,ate,-0.09313502007654517
7663,fairness_xy,gan_ncm,maf,7,7,ate,-0.09543949452347883
7664,fairness_xy,gan_ncm,maf,7,7,ate,-0.09460061261857461
7665,fairness_xy,gan_ncm,maf,7,7,ate,-0.09159399495678555
7666,fairness_xy,gan_ncm,maf,7,7,ate,-0.1072323809463459
7667,fairness_xy,gan_ncm,maf,7,7,ate,-0.08860291902905215
7668,fairness_xy,gan_ncm,maf,7,7,ate,-0.09588188293524963
7669,fairness_xy,gan_ncm,maf,7,7,ate,-0.09511124072638005
7670,fairness_xy,gan_ncm,maf,7,42,ate,-0.07512047913657433
7671,fairness_xy,gan_ncm,maf,7,42,ate,-0.06884758589525039
7672,fairness_xy,gan_ncm,maf,7,42,ate,-0.06645094683870614
7673,fairness_xy,gan_ncm,maf,7,42,ate,-0.07169811755991767
7674,fairness_xy,gan_ncm,maf,7,42,ate,-0.06792760573555132
7675,fairness_xy,gan_ncm,maf,7,42,ate,-0.057069107056567314
7676,fairness_xy,gan_ncm,maf,7,42,ate,-0.06186525027936529
7677,fairness_xy,gan_ncm,maf,7,42,ate,-0.06993071076887136
